la_code,la_name,2G premises (outdoor): no reliable signal by LA (%),2G premises (outdoor): signal from 1 operator by LA (%),2G premises (outdoor): signal from 2 operators by LA (%),2G premises (outdoor): signal from all operators by LA (%),2G premises (indoor): no reliable signal by LA (%),2G premises (indoor): signal from 1 operator by LA (%),2G premises (indoor): signal from 2 operators by LA (%),2G premises (indoor): signal from all operators by LA (%),2G geographic (outdoor): no reliable signal by LA (%),2G geographic (outdoor): signal from 1 operator by LA (%),2G geographic (outdoor): signal from 2 operators by LA (%),2G geographic (outdoor): signal from all operators by LA (%),2G geographic (indoor): no reliable signal by LA (%),2G geographic (indoor): signal from 1 operator by LA (%),2G geographic (indoor): signal from 2 operators by LA (%),2G geographic (indoor): signal from all operators by LA (%),2G roads: no reliable signal by LA (%),2G roads: signal from 1 operator by LA (%),2G roads: signal from 2 operators by LA (%),2G roads: signal from all operators by LA (%),2G motorways: no reliable signal by LA (%),2G motorways: signal from 1 operator by LA (%),2G motorways: signal from 2 operators by LA (%),2G motorways: signal from all operators by LA (%),3G premises (outdoor): no reliable signal by LA (%),3G premises (outdoor): signal from 1 operator by LA (%),3G premises (outdoor): signal from 2 operators by LA (%),3G premises (outdoor): signal from 3 operators by LA (%),3G premises (outdoor): signal from all operators by LA (%),3G premises (indoor): no reliable signal by LA (%),3G premises (indoor): signal from 1 operator by LA (%),3G premises (indoor): signal from 2 operators by LA (%),3G premises (indoor): signal from 3 operators by LA (%),3G premises (indoor): signal from all operators by LA (%),3G geographic (outdoor): no reliable signal by LA (%),3G geographic (outdoor): signal from 1 operator by LA (%),3G geographic (outdoor): signal from 2 operators by LA (%),3G geographic (outdoor): signal from 3 operators by LA (%),3G geographic (outdoor): signal from all operators by LA (%),3G geographic (indoor): no reliable signal by LA (%),3G geographic (indoor): signal from 1 operator by LA (%),3G geographic (indoor): signal from 2 operators by LA (%),3G geographic (indoor): signal from 3 operators by LA (%),3G geographic (indoor): signal from all operators by LA (%),3G roads: no reliable signal by LA (%),3G roads: signal from 1 operator by LA (%),3G roads: signal from 2 operators by LA (%),3G roads: signal from 3 operators by LA (%),3G roads: signal from all operators by LA (%),3G motorways: no reliable signal by LA (%),3G motorways: signal from 1 operator by LA (%),3G motorways: signal from 2 operators by LA (%),3G motorways: signal from 3 operators by LA (%),3G motorways: signal from all operators by LA (%),4G premises (outdoor): no reliable signal by LA (%),4G premises (outdoor): signal from 1 operator by LA (%),4G premises (outdoor): signal from 2 operators by LA (%),4G premises (outdoor): signal from 3 operators by LA (%),4G premises (outdoor): signal from all operators by LA (%),4G premises (indoor): no reliable signal by LA (%),4G premises (indoor): signal from 1 operator by LA (%),4G premises (indoor): signal from 2 operators by LA (%),4G premises (indoor): signal from 3 operators by LA (%),4G premises (indoor): signal from all operators by LA (%),4G geographic (outdoor): no reliable signal by LA (%),4G geographic (outdoor): signal from 1 operator by LA (%),4G geographic (outdoor): signal from 2 operators by LA (%),4G geographic (outdoor): signal from 3 operators by LA (%),4G geographic (outdoor): signal from all operators by LA (%),4G geographic (indoor): no reliable signal by LA (%),4G geographic (indoor): signal from 1 operator by LA (%),4G geographic (indoor): signal from 2 operators by LA (%),4G geographic (indoor): signal from 3 operators by LA (%),4G geographic (indoor): signal from all operators by LA (%),4G roads: no reliable signal by LA (%),4G roads: signal from 1 operator by LA (%),4G roads: signal from 2 operators by LA (%),4G roads: signal from 3 operators by LA (%),4G roads: signal from all operators by LA (%),4G motorways: no reliable signal by LA (%),4G motorways: signal from 1 operator by LA (%),4G motorways: signal from 2 operators by LA (%),4G motorways: signal from 3 operators by LA (%),4G motorways: signal from all operators by LA (%)
00-CG,Sheffield District,0.04%,0.04%,0.30%,99.62%,0.15%,0.68%,10.61%,88.56%,6.72%,4.65%,8.10%,80.54%,18.38%,9.71%,14.99%,56.93%,18.38%,9.71%,14.99%,56.93%,0.00%,0.00%,10.58%,89.42%,0.00%,0.02%,0.02%,0.11%,99.85%,0.04%,0.06%,0.39%,4.67%,94.82%,2.58%,2.05%,2.91%,5.89%,86.56%,7.97%,4.55%,6.67%,12.35%,68.46%,0.10%,0.30%,2.00%,7.05%,90.55%,0.00%,0.00%,0.00%,2.88%,97.12%,0.00%,0.02%,0.02%,0.89%,99.07%,0.05%,0.03%,0.10%,2.26%,97.56%,3.42%,2.76%,2.53%,7.78%,83.51%,8.28%,5.37%,6.70%,14.47%,65.19%,0.13%,0.50%,1.57%,7.62%,90.18%,0.00%,0.00%,0.00%,1.92%,98.08%
00-RD,Shetland Islands,13.72%,15.80%,20.14%,50.34%,35.72%,18.03%,30.91%,15.34%,29.21%,24.01%,18.80%,27.97%,66.44%,18.15%,8.65%,6.76%,66.44%,18.15%,8.65%,6.76%,,,,,34.86%,14.12%,18.52%,32.50%,0.00%,47.20%,21.68%,26.93%,4.19%,0.00%,60.81%,17.73%,20.37%,1.09%,0.00%,76.38%,9.42%,13.92%,0.27%,0.00%,74.57%,11.60%,13.68%,0.16%,0.00%,,,,,,57.38%,42.62%,0.00%,0.00%,0.00%,75.59%,24.41%,0.00%,0.00%,0.00%,88.89%,11.11%,0.00%,0.00%,0.00%,93.66%,6.34%,0.00%,0.00%,0.00%,94.41%,5.59%,0.00%,0.00%,0.00%,,,,,
00-GG,Shropshire,1.86%,5.14%,15.92%,77.08%,13.12%,19.25%,29.94%,37.70%,7.54%,13.11%,25.20%,54.15%,33.77%,28.38%,23.90%,13.95%,33.77%,28.38%,23.90%,13.95%,0.00%,2.60%,24.03%,73.38%,1.34%,2.17%,10.33%,21.21%,64.95%,9.61%,10.48%,18.60%,21.61%,39.70%,6.63%,7.34%,17.09%,24.14%,44.81%,21.16%,19.99%,28.30%,20.06%,10.48%,13.67%,16.50%,29.73%,21.91%,18.20%,0.00%,0.00%,6.49%,12.99%,80.52%,7.25%,18.13%,10.08%,10.24%,54.30%,17.20%,23.53%,12.01%,14.90%,32.35%,18.66%,19.12%,21.11%,17.50%,23.61%,33.96%,28.88%,22.47%,7.54%,7.15%,27.94%,28.20%,19.59%,10.27%,14.01%,0.00%,2.60%,7.14%,28.57%,61.69%
00-MD,Slough,0.00%,0.00%,0.00%,100.00%,0.00%,0.21%,11.43%,88.36%,0.00%,0.00%,0.00%,100.00%,0.00%,0.30%,9.63%,90.06%,0.00%,0.30%,9.63%,90.06%,0.00%,0.00%,3.42%,96.58%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,5.45%,94.55%,0.00%,0.00%,0.00%,0.30%,99.70%,0.00%,0.00%,0.00%,10.15%,89.85%,0.00%,0.00%,0.00%,2.22%,97.78%,0.00%,0.00%,0.00%,11.11%,88.89%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.10%,99.90%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.24%,99.76%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%
00-CT,Solihull District,0.00%,0.00%,0.59%,99.41%,0.40%,2.93%,19.93%,76.73%,0.00%,0.07%,0.85%,99.08%,0.93%,6.38%,22.17%,70.51%,0.93%,6.38%,22.17%,70.51%,0.00%,0.00%,3.56%,96.44%,0.00%,0.00%,0.00%,0.32%,99.68%,0.00%,0.02%,1.35%,7.15%,91.49%,0.00%,0.00%,0.00%,1.20%,98.80%,0.00%,0.16%,3.03%,24.86%,71.95%,0.00%,0.34%,3.48%,20.08%,76.09%,0.00%,0.00%,0.00%,2.77%,97.23%,0.00%,0.00%,0.00%,1.00%,99.00%,0.00%,0.34%,2.01%,4.76%,92.88%,0.00%,0.00%,0.03%,0.63%,99.35%,0.00%,0.82%,4.55%,8.23%,86.40%,0.00%,0.82%,5.67%,5.81%,87.70%,0.00%,0.00%,0.00%,0.79%,99.21%
40-00,Somerset County,1.24%,4.24%,11.33%,83.19%,10.53%,15.49%,31.47%,42.51%,7.50%,9.81%,15.94%,66.75%,26.64%,24.51%,24.16%,24.69%,26.64%,24.51%,24.16%,24.69%,0.00%,1.37%,16.87%,81.76%,0.99%,1.19%,5.94%,12.55%,79.32%,5.40%,6.85%,14.05%,18.60%,55.10%,6.90%,4.30%,8.14%,17.75%,62.91%,16.61%,12.22%,21.79%,24.18%,25.21%,10.55%,9.93%,20.71%,26.13%,32.69%,0.00%,0.00%,3.65%,19.15%,77.20%,2.34%,9.65%,13.29%,14.18%,60.55%,11.75%,15.47%,20.75%,21.02%,31.01%,8.98%,10.41%,17.14%,19.41%,44.06%,20.52%,24.51%,24.74%,12.67%,17.56%,17.66%,21.86%,24.98%,14.47%,21.03%,0.00%,0.00%,13.83%,16.26%,69.91%
00-RE,South Ayrshire,0.73%,1.94%,7.13%,90.19%,5.46%,8.57%,39.32%,46.65%,31.42%,14.98%,18.13%,35.47%,51.44%,16.21%,18.02%,14.33%,51.44%,16.21%,18.02%,14.33%,,,,,0.68%,1.25%,3.73%,9.19%,85.14%,2.87%,4.16%,8.31%,15.31%,69.34%,33.74%,8.80%,17.96%,11.58%,27.92%,46.17%,11.63%,19.35%,10.60%,12.25%,15.56%,12.88%,27.38%,17.69%,26.48%,,,,,,1.92%,1.38%,10.69%,10.56%,75.45%,4.13%,7.99%,17.66%,19.59%,50.63%,48.13%,9.09%,13.40%,7.78%,21.61%,56.70%,13.76%,13.34%,7.15%,9.05%,27.48%,18.08%,21.90%,11.96%,20.57%,,,,,
00-HD,South Gloucestershire,0.00%,0.20%,1.86%,97.94%,1.90%,6.68%,28.02%,63.41%,0.53%,2.04%,7.19%,90.25%,9.24%,17.12%,24.48%,49.15%,9.24%,17.12%,24.48%,49.15%,0.00%,1.81%,7.95%,90.24%,0.00%,0.01%,0.02%,1.20%,98.78%,0.11%,0.60%,1.78%,14.23%,83.28%,0.22%,0.49%,1.21%,4.62%,93.45%,2.03%,3.54%,7.64%,26.19%,60.60%,0.42%,1.13%,5.31%,21.27%,71.87%,0.00%,0.00%,0.96%,17.35%,81.69%,0.00%,0.02%,0.11%,1.15%,98.71%,0.32%,1.06%,4.50%,17.49%,76.64%,0.37%,0.86%,2.17%,5.00%,91.61%,2.39%,6.53%,13.60%,18.33%,59.15%,1.31%,3.89%,8.78%,15.50%,70.52%,0.00%,0.00%,1.20%,12.53%,86.27%
00-RF,South Lanarkshire,0.16%,0.36%,2.44%,97.05%,1.79%,4.34%,25.73%,68.14%,11.36%,10.31%,16.78%,61.56%,31.52%,16.20%,20.83%,31.45%,31.52%,16.20%,20.83%,31.45%,0.00%,1.45%,10.29%,88.26%,0.27%,0.40%,2.30%,5.48%,91.55%,1.67%,2.13%,4.21%,11.67%,80.32%,12.87%,9.17%,14.85%,24.55%,38.55%,28.16%,13.76%,19.72%,20.22%,18.14%,9.97%,8.33%,20.68%,24.57%,36.45%,0.00%,0.78%,10.96%,35.79%,52.46%,1.56%,2.18%,5.70%,6.43%,84.13%,3.94%,5.66%,8.53%,20.06%,61.81%,22.54%,16.37%,20.76%,14.77%,25.56%,42.06%,18.95%,15.19%,10.48%,13.32%,26.26%,15.39%,19.09%,14.07%,25.19%,4.59%,18.68%,27.18%,14.09%,35.46%
00-CL,South Tyneside District,0.00%,0.00%,0.12%,99.88%,0.00%,0.06%,25.56%,74.38%,0.00%,0.00%,0.22%,99.78%,0.00%,0.31%,18.25%,81.44%,0.00%,0.31%,18.25%,81.44%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.21%,99.79%,0.00%,0.00%,0.47%,5.53%,94.00%,0.00%,0.00%,0.00%,0.38%,99.62%,0.00%,0.00%,0.42%,12.78%,86.79%,0.00%,0.00%,0.11%,7.58%,92.32%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.04%,5.59%,94.37%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.02%,3.99%,95.99%,0.00%,0.00%,0.00%,5.41%,94.59%,0.00%,0.00%,0.00%,0.00%,100.00%
00-KF,Southend-on-Sea,0.00%,0.00%,0.23%,99.77%,0.04%,2.05%,27.23%,70.68%,0.00%,0.00%,0.17%,99.83%,0.02%,3.01%,24.00%,72.97%,0.02%,3.01%,24.00%,72.97%,,,,,0.00%,0.00%,0.00%,0.05%,99.95%,0.00%,0.00%,0.26%,6.40%,93.33%,0.00%,0.00%,0.00%,0.29%,99.71%,0.00%,0.00%,0.26%,6.49%,93.24%,0.00%,0.00%,0.42%,7.43%,92.14%,,,,,,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.11%,6.65%,93.24%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.14%,5.87%,93.98%,0.00%,0.00%,0.00%,5.10%,94.90%,,,,,
00-BZ,St. Helens District,0.00%,0.01%,0.29%,99.70%,0.47%,4.38%,25.62%,69.52%,0.00%,0.01%,0.93%,99.06%,0.52%,4.49%,23.26%,71.73%,0.52%,4.49%,23.26%,71.73%,0.00%,0.00%,10.56%,89.44%,0.00%,0.00%,0.00%,0.22%,99.78%,0.00%,0.09%,0.36%,11.24%,88.31%,0.00%,0.00%,0.01%,1.25%,98.74%,0.00%,0.21%,3.79%,22.75%,73.25%,0.00%,0.07%,3.21%,22.47%,74.25%,0.00%,0.00%,0.00%,21.12%,78.88%,0.00%,0.00%,0.00%,1.00%,99.00%,0.00%,0.02%,2.68%,25.65%,71.66%,0.00%,0.00%,0.07%,2.85%,97.07%,0.00%,0.07%,10.98%,22.62%,66.33%,0.00%,0.21%,10.05%,23.94%,65.81%,0.00%,0.00%,2.48%,12.42%,85.09%
41-00,Staffordshire County,0.31%,1.22%,6.49%,91.98%,3.60%,10.57%,34.95%,50.87%,3.27%,8.26%,15.42%,73.04%,19.05%,22.66%,25.47%,32.82%,19.05%,22.66%,25.47%,32.82%,0.68%,2.05%,11.70%,85.57%,0.19%,0.36%,2.31%,5.14%,92.00%,1.88%,3.49%,9.36%,17.81%,67.46%,2.17%,3.04%,9.31%,14.56%,70.92%,10.21%,13.32%,23.56%,22.02%,30.89%,3.41%,8.18%,19.80%,20.64%,47.98%,0.00%,0.85%,3.42%,25.53%,70.20%,0.48%,0.89%,12.36%,7.59%,78.68%,2.09%,6.92%,17.82%,14.86%,58.32%,4.22%,5.32%,20.56%,15.42%,54.49%,9.74%,14.80%,33.83%,13.68%,27.95%,5.70%,11.53%,28.15%,13.78%,40.84%,1.71%,3.76%,13.66%,12.72%,68.15%
00-RG,Stirling,0.74%,1.13%,9.38%,88.75%,5.05%,12.35%,24.13%,58.47%,30.85%,12.51%,18.42%,38.22%,52.19%,19.56%,16.41%,11.84%,52.19%,19.56%,16.41%,11.84%,0.00%,0.00%,3.17%,96.83%,2.54%,3.56%,15.38%,3.94%,74.59%,9.43%,7.81%,13.19%,5.04%,64.55%,36.28%,14.17%,20.60%,8.73%,20.22%,56.40%,14.99%,16.70%,4.63%,7.28%,36.48%,19.14%,23.73%,3.71%,16.95%,0.00%,0.00%,0.00%,6.34%,93.66%,4.23%,14.88%,4.41%,2.55%,73.93%,12.92%,12.42%,3.56%,6.40%,64.70%,56.35%,14.49%,9.48%,7.85%,11.83%,66.61%,17.63%,6.29%,2.87%,6.60%,41.80%,29.56%,8.70%,2.82%,17.12%,0.00%,0.00%,0.00%,1.76%,98.24%
00-BS,Stockport District,0.00%,0.01%,0.26%,99.74%,0.06%,0.67%,11.21%,88.07%,0.13%,0.20%,2.46%,97.21%,1.15%,4.42%,15.24%,79.19%,1.15%,4.42%,15.24%,79.19%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.09%,0.19%,99.72%,0.00%,0.07%,0.51%,6.67%,92.76%,0.00%,0.00%,0.63%,2.01%,97.36%,0.31%,0.86%,2.95%,12.51%,83.37%,0.00%,0.49%,1.34%,7.82%,90.35%,0.00%,0.00%,0.00%,4.40%,95.60%,0.00%,0.00%,0.03%,0.32%,99.65%,0.01%,0.17%,0.95%,2.29%,96.57%,0.02%,0.13%,0.65%,2.11%,97.09%,0.36%,1.76%,3.53%,6.00%,88.35%,0.07%,1.06%,1.62%,3.10%,94.15%,0.00%,0.00%,0.00%,1.89%,98.11%
00-EF,Stockton-on-Tees,0.01%,0.12%,0.92%,98.95%,0.50%,1.62%,19.67%,78.22%,0.42%,1.62%,6.36%,91.60%,4.55%,7.74%,23.82%,63.89%,4.55%,7.74%,23.82%,63.89%,,,,,0.00%,0.00%,0.02%,1.12%,98.86%,0.02%,0.07%,3.56%,19.46%,76.90%,0.00%,0.00%,1.54%,7.13%,91.32%,0.39%,1.27%,8.53%,34.87%,54.94%,0.00%,0.00%,4.55%,27.27%,68.18%,,,,,,0.00%,0.00%,0.01%,0.77%,99.22%,0.06%,0.80%,3.50%,8.12%,87.51%,0.00%,0.00%,0.07%,3.17%,96.76%,0.42%,1.36%,4.47%,10.82%,82.92%,0.00%,0.88%,2.49%,6.89%,89.74%,,,,,
42-00,Suffolk County,1.20%,4.84%,11.51%,82.45%,9.89%,13.13%,28.84%,48.15%,2.82%,9.53%,24.19%,63.46%,26.19%,27.13%,24.02%,22.66%,26.19%,27.13%,24.02%,22.66%,,,,,0.47%,2.19%,6.91%,9.81%,80.62%,6.10%,7.07%,15.09%,17.55%,54.18%,0.60%,3.34%,11.43%,23.47%,61.16%,14.25%,21.90%,23.97%,21.71%,18.17%,9.72%,16.17%,24.08%,21.95%,28.09%,,,,,,4.10%,7.65%,7.89%,12.72%,67.63%,13.50%,12.23%,13.65%,17.46%,43.16%,3.69%,11.95%,20.33%,18.84%,45.20%,26.60%,26.39%,17.59%,13.79%,15.64%,23.84%,20.77%,17.25%,16.22%,21.92%,,,,,
00-CM,Sunderland District,0.00%,0.00%,0.55%,99.45%,0.00%,0.32%,25.15%,74.53%,0.00%,0.01%,1.53%,98.45%,0.23%,0.84%,24.52%,74.41%,0.23%,0.84%,24.52%,74.41%,0.00%,0.00%,21.05%,78.95%,0.00%,0.00%,0.00%,0.46%,99.53%,0.00%,0.00%,3.06%,13.94%,83.00%,0.00%,0.00%,0.01%,2.93%,97.06%,0.00%,0.01%,4.07%,23.95%,71.97%,0.00%,0.00%,2.83%,17.20%,79.98%,0.00%,0.00%,1.75%,29.82%,68.42%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,1.95%,98.05%,0.00%,0.00%,0.00%,0.02%,99.98%,0.00%,0.01%,0.05%,3.60%,96.34%,0.00%,0.00%,0.00%,2.03%,97.97%,0.00%,0.00%,0.00%,1.75%,98.25%
43-00,Surrey County,0.15%,0.37%,2.34%,97.14%,1.57%,5.23%,24.41%,68.79%,2.14%,4.59%,11.58%,81.69%,13.64%,16.31%,24.69%,45.37%,13.64%,16.31%,24.69%,45.37%,0.00%,2.19%,12.49%,85.32%,0.01%,0.02%,0.17%,1.02%,98.77%,0.15%,0.31%,2.91%,7.61%,89.02%,0.07%,0.21%,1.77%,7.01%,90.95%,1.97%,3.35%,10.77%,21.45%,62.46%,0.66%,0.95%,5.44%,13.61%,79.34%,0.00%,0.00%,1.48%,5.78%,92.74%,0.03%,0.04%,0.16%,1.19%,98.58%,0.15%,0.52%,2.27%,10.89%,86.18%,0.09%,0.34%,1.31%,5.94%,92.32%,1.41%,4.72%,8.95%,20.40%,64.53%,0.62%,1.40%,4.55%,15.60%,77.83%,0.00%,0.00%,0.78%,11.01%,88.21%
00-NX,Abertawe - Swansea,0.42%,2.35%,8.91%,88.31%,4.11%,12.83%,27.94%,55.13%,5.50%,7.30%,17.78%,69.43%,21.94%,23.45%,25.73%,28.88%,21.94%,23.45%,25.73%,28.88%,0.00%,0.00%,30.69%,69.31%,0.09%,0.12%,2.03%,3.25%,94.51%,1.11%,2.45%,9.26%,14.16%,73.02%,1.51%,2.41%,7.24%,12.32%,76.52%,8.92%,7.62%,17.98%,23.55%,41.93%,2.81%,2.81%,11.28%,17.63%,65.47%,0.00%,0.00%,0.00%,10.05%,89.95%,0.26%,0.16%,1.14%,8.02%,90.41%,0.68%,3.82%,9.45%,19.08%,66.97%,1.90%,3.75%,8.79%,15.92%,69.64%,8.64%,10.00%,21.47%,20.00%,39.90%,1.95%,5.30%,13.05%,17.85%,61.85%,0.00%,0.00%,11.64%,26.46%,61.90%
00-HX,Swindon,0.00%,0.05%,1.04%,98.91%,1.42%,3.47%,25.86%,69.25%,0.03%,0.54%,3.67%,95.75%,5.17%,11.75%,27.94%,55.14%,5.17%,11.75%,27.94%,55.14%,0.00%,0.00%,7.57%,92.43%,0.00%,0.00%,1.84%,1.60%,96.56%,0.00%,0.07%,5.66%,20.61%,73.66%,0.00%,0.00%,0.65%,5.02%,94.33%,0.01%,0.51%,8.98%,28.05%,62.45%,0.00%,0.13%,6.19%,20.36%,73.32%,0.00%,0.00%,2.70%,7.57%,89.73%,0.00%,0.00%,0.62%,2.61%,96.77%,0.06%,0.63%,5.10%,6.22%,87.98%,0.00%,0.00%,0.24%,4.76%,95.00%,0.46%,3.30%,8.83%,24.12%,63.29%,0.06%,1.21%,6.13%,15.95%,76.64%,0.00%,0.00%,4.32%,27.03%,68.65%
00-BT,Tameside District,0.00%,0.04%,0.37%,99.59%,0.18%,1.53%,12.50%,85.79%,0.41%,1.16%,2.96%,95.47%,2.95%,5.45%,17.19%,74.40%,2.95%,5.45%,17.19%,74.40%,0.00%,0.00%,8.74%,91.26%,0.00%,0.00%,0.00%,0.27%,99.73%,0.00%,0.05%,0.30%,3.84%,95.81%,0.00%,0.03%,0.55%,1.64%,97.78%,0.70%,1.41%,2.20%,9.07%,86.62%,0.00%,0.00%,0.00%,4.73%,95.27%,0.00%,0.00%,0.00%,6.56%,93.44%,0.00%,0.02%,0.20%,1.84%,97.93%,0.38%,0.35%,1.24%,3.13%,94.90%,0.03%,0.42%,1.09%,6.31%,92.16%,1.82%,2.38%,3.46%,10.79%,81.54%,0.00%,0.55%,3.09%,6.37%,89.99%,0.00%,0.00%,0.55%,0.00%,99.45%
00-GF,Telford and Wrekin,0.21%,0.98%,4.31%,94.51%,3.67%,9.20%,29.47%,57.67%,0.96%,3.21%,16.79%,79.04%,21.38%,25.86%,28.54%,24.22%,21.38%,25.86%,28.54%,24.22%,0.00%,0.00%,10.81%,89.19%,0.01%,0.06%,0.72%,2.51%,96.70%,0.58%,1.30%,7.85%,13.60%,76.67%,0.09%,0.58%,2.22%,10.00%,87.10%,4.32%,10.12%,24.24%,27.05%,34.27%,1.14%,7.25%,19.29%,22.83%,49.49%,0.00%,0.00%,0.00%,20.72%,79.28%,0.00%,0.21%,6.45%,6.00%,87.34%,1.03%,9.49%,6.30%,17.08%,66.10%,0.11%,0.95%,11.05%,16.05%,71.83%,4.39%,21.14%,26.21%,15.24%,33.03%,3.08%,14.95%,21.86%,17.87%,42.24%,0.00%,0.00%,0.00%,8.11%,91.89%
00-ML,The City of Brighton and Hove,0.00%,0.18%,0.58%,99.24%,0.21%,1.29%,14.61%,83.89%,0.02%,1.05%,4.87%,94.05%,3.65%,7.25%,20.03%,69.08%,3.65%,7.25%,20.03%,69.08%,,,,,0.00%,0.00%,0.01%,0.23%,99.76%,0.00%,0.01%,0.46%,4.80%,94.73%,0.00%,0.01%,1.03%,5.25%,93.71%,0.29%,0.85%,5.28%,16.41%,77.17%,0.00%,0.00%,0.00%,4.95%,95.05%,,,,,,0.00%,0.00%,0.04%,2.33%,97.63%,0.00%,0.20%,2.01%,6.46%,91.32%,0.00%,0.01%,0.62%,5.17%,94.20%,0.66%,1.17%,4.90%,12.73%,80.54%,0.00%,0.11%,1.51%,5.71%,92.68%,,,,,
00-PD,Bro Morgannwg - the Vale of Glamorgan,0.48%,2.48%,9.16%,87.89%,6.10%,14.12%,36.47%,43.31%,1.61%,6.85%,20.54%,71.01%,18.53%,21.88%,33.04%,26.55%,18.53%,21.88%,33.04%,26.55%,0.00%,2.94%,20.59%,76.47%,0.15%,0.44%,1.01%,4.23%,94.16%,1.10%,2.61%,9.61%,26.27%,60.41%,0.21%,1.30%,3.19%,11.34%,83.96%,2.54%,9.82%,15.32%,26.13%,46.18%,1.68%,4.68%,10.67%,28.63%,54.34%,0.00%,0.00%,0.00%,5.88%,94.12%,0.13%,0.74%,2.88%,9.97%,86.28%,1.16%,5.01%,14.66%,23.10%,56.07%,0.22%,2.02%,5.93%,11.01%,80.82%,3.90%,12.20%,22.78%,21.25%,39.87%,2.56%,6.18%,18.84%,21.83%,50.59%,0.00%,0.00%,0.00%,0.00%,100.00%
00-KG,Thurrock,0.00%,0.04%,4.38%,95.57%,0.33%,10.04%,30.84%,58.78%,0.02%,0.39%,4.04%,95.56%,2.82%,7.66%,26.95%,62.57%,2.82%,7.66%,26.95%,62.57%,0.00%,0.00%,8.62%,91.38%,0.00%,0.00%,0.00%,0.70%,99.30%,0.00%,0.31%,3.81%,17.94%,77.93%,0.00%,0.00%,0.07%,2.00%,97.93%,0.04%,0.43%,3.78%,21.87%,73.88%,0.00%,0.00%,0.48%,18.87%,80.65%,0.00%,0.00%,0.00%,15.52%,84.48%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.84%,7.30%,91.86%,0.00%,0.00%,0.00%,0.39%,99.61%,0.00%,0.20%,1.92%,7.62%,90.26%,0.00%,0.00%,0.56%,5.00%,94.44%,0.00%,0.00%,0.00%,0.00%,100.00%
00-HH,Torbay,0.00%,0.21%,3.38%,96.40%,0.80%,3.78%,18.75%,76.68%,0.12%,1.51%,6.80%,91.57%,3.94%,8.18%,21.27%,66.61%,3.94%,8.18%,21.27%,66.61%,,,,,0.00%,0.02%,0.05%,1.52%,98.40%,0.02%,0.27%,2.02%,9.88%,87.82%,0.00%,0.08%,0.51%,5.13%,94.28%,0.32%,1.97%,6.57%,16.22%,74.92%,0.00%,0.00%,3.39%,12.28%,84.33%,,,,,,0.00%,0.05%,0.31%,4.83%,94.80%,0.07%,0.48%,5.59%,17.82%,76.05%,0.02%,0.51%,2.83%,7.86%,88.78%,0.77%,3.29%,12.17%,19.09%,64.67%,0.16%,2.10%,6.95%,17.61%,73.18%,,,,,
00-PM,Tor-faen - Torfaen,0.28%,2.12%,6.92%,90.67%,2.66%,7.89%,22.62%,66.83%,3.50%,5.38%,15.28%,75.84%,13.51%,14.69%,26.82%,44.99%,13.51%,14.69%,26.82%,44.99%,,,,,0.00%,0.01%,0.38%,10.63%,88.98%,0.76%,1.83%,7.13%,19.34%,70.94%,0.60%,1.06%,3.72%,17.70%,76.92%,5.05%,6.03%,13.19%,28.21%,47.52%,0.63%,5.94%,16.88%,27.66%,48.91%,,,,,,0.00%,0.99%,24.66%,6.72%,67.63%,0.05%,6.68%,31.23%,20.75%,41.28%,1.30%,3.54%,38.07%,11.75%,45.34%,5.94%,12.48%,43.02%,12.67%,25.88%,0.94%,13.28%,42.34%,4.84%,38.59%,,,,,
00-BU,Trafford District,0.00%,0.00%,0.04%,99.96%,0.00%,0.98%,9.97%,89.05%,0.00%,0.00%,1.03%,98.97%,0.09%,2.42%,17.68%,79.81%,0.09%,2.42%,17.68%,79.81%,0.00%,0.00%,4.69%,95.31%,0.00%,0.00%,0.00%,0.11%,99.89%,0.00%,0.00%,0.41%,2.62%,96.97%,0.00%,0.00%,0.00%,1.09%,98.91%,0.00%,0.06%,1.93%,18.86%,79.15%,0.00%,0.00%,1.68%,8.80%,89.52%,0.00%,0.00%,0.00%,17.19%,82.81%,0.00%,0.00%,0.00%,0.03%,99.97%,0.00%,0.11%,0.91%,2.48%,96.50%,0.00%,0.00%,0.00%,0.17%,99.83%,0.04%,0.68%,2.04%,7.06%,90.18%,0.00%,0.72%,1.68%,7.92%,89.68%,0.00%,0.00%,0.00%,1.56%,98.44%
